A,W,MT,ID
128,64,116,2
128,64,106,2
128,64,103,2
128,64,127,2
128,64,88,2
256,32,99,3
256,32,123,3
256,32,122,3
256,32,116,3
256,32,117,3
512,32,166,4
512,32,127,4
512,32,117,4
512,32,145,4
512,32,106,4
128,16,116,3
128,16,117,3
128,16,105,3
128,16,117,3
128,16,106,3
128,32,105,2
128,32,128,2
128,32,110,2
128,32,117,2
128,32,101,2
256,64,106,2
256,64,84,2
256,64,0,2
256,64,122,2
256,64,100,2
256,16,133,4
256,16,96,4
256,16,120,4
256,16,101,4
256,16,150,4
512,64,105,3
512,64,99,3
512,64,112,3
512,64,127,3
512,64,0,3
512,16,100,5
512,16,116,5
512,16,139,5
512,16,139,5
512,16,116,5
