A,W,MT,ID
32,4,659,3
32,4,902,3
32,4,885,3
32,4,724,3
32,4,813,3
64,4,1119,4
64,4,1820,4
64,4,2425,4
64,4,927,4
64,4,901,4
32,1,1264,5
32,1,987,5
32,1,1051,5
32,1,2147,5
32,1,1250,5
32,2,1172,4
32,2,929,4
32,2,1194,4
32,2,1122,4
32,2,1394,4
64,1,1273,6
64,1,1134,6
64,1,880,6
64,1,1140,6
64,1,1232,6
16,4,899,2
16,4,912,2
16,4,978,2
16,4,0,2
16,4,1003,2
16,1,0,4
16,1,1893,4
16,1,2655,4
16,1,1294,4
16,1,0,4
64,2,1309,5
64,2,1251,5
64,2,1235,5
64,2,1230,5
64,2,1231,5
16,2,788,3
16,2,841,3
16,2,892,3
16,2,937,3
16,2,1057,3
